gene_symbol,Ivd
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
pvalue,0.5934228
analysis_id,745zq06i7w58677
mouse_strain,C57BL
