parameter_name,Centre resting time
parameter_id,ESLIM_007_001_011
gene_accession_id,MGI:1914836
pvalue,0.6712056
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ubxn11
analysis_id,20xu4h5b3hc1oep
