analysis_id,83k3cn4v0m68hp4
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.3556784
gene_symbol,Kcng1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
