analysis_id,7je530n14ipoxw8
gene_symbol,Pglyrp3
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
mouse_strain,C57BL
pvalue,0.7571451
