analysis_id,48pt8nuq7uziryx
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
gene_symbol,Kifap3
pvalue,0.8053016
gene_accession_id,MGI:107566
