gene_symbol,Nucks1
mouse_strain,C57BL
pvalue,0.3692949
parameter_name,IgD+ mature B cell percentage
gene_accession_id,MGI:1934811
mouse_life_stage,Middle aged adult
parameter_id,MGP_PBI_015_001
analysis_id,x2r8170cjt5gb6k
