parameter_name,Prepulse inhibition - PP3
pvalue,0.1727643
analysis_id,354903d289b5974
mouse_life_stage,Early adult
gene_symbol,Lcn2
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
gene_accession_id,MGI:96757
