analysis_id,zw59ta0o3g33xq0
gene_accession_id,MGI:1914561
pvalue,0.8893113
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
mouse_life_stage,E18.5
gene_symbol,Nanp
parameter_name,ST
