analysis_id,26q0g39yw852355
pvalue,0.5984384
gene_accession_id,MGI:107566
gene_symbol,Kifap3
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
mouse_strain,C57BL
