gene_symbol,Lamb3
parameter_id,MGP_CSD_025_001
mouse_life_stage,Early adult
pvalue,0.5995422
analysis_id,fyml39836b44188
mouse_strain,C57BL
gene_accession_id,MGI:99915
parameter_name,Ventral coat/hair presence
