parameter_name,Heart looping
gene_symbol,Ap5s1
parameter_id,IMPC_GEL_057_001
pvalue,0.5477173
gene_accession_id,MGI:1916846
mouse_strain,C57BL
analysis_id,8e82yx7k40180w0
mouse_life_stage,Early adult
