parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
mouse_strain,C57BL
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,E9.5
pvalue,0.3920167
analysis_id,cbp1q8723wdym5u
