gene_symbol,Lamb3
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.5287916
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
analysis_id,1469774ha04b145
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
