gene_symbol,Nanp
pvalue,0.3455291
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Limb grasping
parameter_id,ESLIM_008_001_017
analysis_id,t2s540j56c2x20m
