parameter_name,Whole arena average speed
analysis_id,iw4jkfpjk2thu37
gene_symbol,Mgst2
pvalue,0.1296645
parameter_id,JAX_OFD_009_001
mouse_strain,C59BL
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
