analysis_id,o1630r2uw70zeal
pvalue,0.4505351
gene_symbol,Steap3
parameter_name,Caudal processes
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
