parameter_name,B Cells
mouse_strain,C57BL
gene_symbol,Ap5s1
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
analysis_id,1rh56b92fv07syu
pvalue,0.4906625
