analysis_id,25yoo21161e1t56
pvalue,0.638785
parameter_id,IMPC_ACS_035_001
gene_accession_id,MGI:109356
parameter_name,% Pre-pulse inhibition - PPI3
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Snap23
