parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
gene_accession_id,MGI:3046938
analysis_id,g92zubdr4m8c3kz
gene_symbol,Hrnr
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair presence
pvalue,0.6286056
