gene_symbol,Zyg11b
mouse_life_stage,E18.5
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
gene_accession_id,MGI:2685277
analysis_id,a87a3d9084x43z4
pvalue,0.402736
mouse_strain,C57BL
