parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
pvalue,0.7657763
analysis_id,407v7bxa9807e95
gene_symbol,Fpgs
mouse_strain,C57BL
