analysis_id,w5q752910xiir1u
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
pvalue,0.5526201
mouse_life_stage,Early adult
gene_symbol,Gja10
gene_accession_id,MGI:1339969
parameter_name,Platelet count
