analysis_id,5hb404265q0124x
gene_accession_id,MGI:87968
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Ahcy
pvalue,0.7975904
parameter_name,B cell percentage
