parameter_name,HR
parameter_id,IMPC_ECG_002_001
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1345282
pvalue,0.5102105
analysis_id,i1094v4q6t9441y
