gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4127866
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
analysis_id,eze744d06b726g6
gene_accession_id,MGI:1914050
