gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
analysis_id,92sk8z4c1al9mra
mouse_life_stage,Early adult
pvalue,0.1419815
