analysis_id,xsuoe718i6u83v1
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
parameter_id,MGP_IMM_027_001
pvalue,0.4001032
gene_symbol,Mov10
