gene_symbol,Kdm5b
mouse_strain,C57BL
analysis_id,v788732sbx304cc
pvalue,0.9263212
parameter_id,IMPC_ECH_018_001
parameter_name,Respiration Rate
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
