gene_symbol,Abo
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
gene_accession_id,MGI:2135738
pvalue,0.328885
analysis_id,2ryz27s8a88b03q
parameter_name,Phosphorus
mouse_life_stage,Early adult
