analysis_id,856ag806z3h37f9
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_028_001
mouse_strain,C57BL
pvalue,0.1951291
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
