parameter_name,cDCs CD11b Type
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_073_001
analysis_id,43f852a91epapve
mouse_strain,C57BL
pvalue,0.338243
