analysis_id,935352kr2tmz0sl
gene_symbol,Morn5
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
gene_accession_id,MGI:1922745
parameter_name,Effector CD8+ T cells - % of CD45+
pvalue,0.7655291
mouse_life_stage,Early adult
