parameter_name,Facial Morphology
pvalue,0.5229606
mouse_life_stage,Middle aged adult
gene_symbol,Frmpd1
analysis_id,p38w0yp144s025w
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_GEP_017_001
