analysis_id,2r0c55s4mx34165
gene_accession_id,MGI:1916043
gene_symbol,Rab3gap2
pvalue,0.712908
mouse_life_stage,Early adult
mouse_strain,C50BL
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
