parameter_name,Neutrophil cell count
analysis_id,ywd77ne3ypra920
pvalue,0.4839875
gene_symbol,Tnni1
mouse_strain,C57BL
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
