parameter_name,Placenta Morphology
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
gene_symbol,Ddx27
mouse_strain,C57BL
pvalue,0.7797329
gene_accession_id,MGI:2385884
analysis_id,qn671h3jgy89ga4
