parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
parameter_id,ESLIM_011_001_705
pvalue,0.4613682
mouse_strain,C57BL
analysis_id,uw83q9qz2buv709
mouse_life_stage,Early adult
