analysis_id,bzr79s88m93d4ku
parameter_id,IMPC_HEM_030_001
mouse_life_stage,E18.5
parameter_name,Neutrophil cell count
gene_accession_id,MGI:2446186
pvalue,0.3376988
mouse_strain,C57BL
gene_symbol,Lpgat1
