parameter_name,Eye
pvalue,0.3326748
gene_accession_id,MGI:2685277
mouse_strain,C57BL
gene_symbol,Zyg11b
parameter_id,M-G-P_013_001_001
mouse_life_stage,E18.5
analysis_id,4asr3t48q40yy6z
