parameter_name,Haemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,y8486q9000323us
gene_symbol,Slc30a4
parameter_id,ESLIM_016_001_003
gene_accession_id,MGI:1345282
pvalue,0.9965095
