gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
analysis_id,2t798e1ms6k1859
pvalue,0.4259364
parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
mouse_strain,C57BL
