analysis_id,e5378g8gv8nk0vx
gene_symbol,Frmpd1
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
pvalue,0.5714908
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
