parameter_id,TCPLA_XRY_033_001
pvalue,0.6186628
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88461
parameter_name,Tibia length
gene_symbol,Col6a3
analysis_id,3770g6kz22671i4
