analysis_id,h7o32aks6a50zkw
gene_symbol,Casq1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4288333
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:1309468
