gene_symbol,Ivd
parameter_id,M-G-P_007_001_010
pvalue,0.2270462
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
analysis_id,490a09279hfjxoe
parameter_name,center - distance
