analysis_id,d7ep3325v649z7f
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Hpca
parameter_id,IMPC_CSD_030_001
parameter_name,Tremor
pvalue,0.3221078
gene_accession_id,MGI:1336200
