analysis_id,5vmd76th65tbogy
parameter_id,MGP_PBI_016_001
pvalue,0.08842946
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_name,Monocyte percentage
