analysis_id,4s848ojx4rk83au
mouse_strain,C57BL
gene_accession_id,MGI:1913105
pvalue,0.80086
gene_symbol,Slc28a2
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
parameter_name,Bone Mineral Content
