analysis_id,76i8f2m888b4h53
pvalue,0.8428231
parameter_id,JAX_LDT_005_001
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_name,Time mobile dark side
mouse_strain,C57BL
