analysis_id,d36htoj6962818j
pvalue,0.1049069
gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
parameter_name,Periphery - Permanence Time
gene_accession_id,MGI:1924360
