analysis_id,95436r9rp54l1r9
pvalue,0.9241255
parameter_id,IMPC_GEL_060_001
mouse_strain,129SV
parameter_name,Neural tube morphology
mouse_life_stage,Early adult
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
