parameter_name,Eye
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
analysis_id,i6256ro8eiq2n1r
mouse_life_stage,E9.5
pvalue,0.6733922
