gene_symbol,Zyg11b
pvalue,0.1023096
mouse_life_stage,E18.5
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_name,Resting Treg cells - % of CD45+
analysis_id,0806obw0u701l10
