gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
analysis_id,d4zg504z20miyi3
pvalue,0.2505716
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Narrow eye opening
