analysis_id,524x054rw8k69m2
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
pvalue,0.4767118
parameter_id,MGP_IMM_125_001
gene_symbol,Eprs1
parameter_name,Eosinophils - % of CD45+
mouse_strain,C57BL
