analysis_id,oc5xdw393pyv778
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.7841301
gene_symbol,Hspa5
parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:95835
