gene_symbol,Kifap3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
analysis_id,4c214y3d886087g
pvalue,0.1861145
