analysis_id,d8tyn6g7sjd2576
parameter_name,Naive CD8+ T cells - % of CD45+
pvalue,0.38693
parameter_id,MGP_MLN_076_001
gene_accession_id,MGI:108072
gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C50BL
