analysis_id,wi7pcilhgd95044
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
parameter_name,Total holepokes
mouse_strain,C57BL
pvalue,0.8369447
gene_symbol,Pld1
parameter_id,JAXLA_HBD_001_001
