parameter_name,RR
gene_accession_id,MGI:3650254
analysis_id,60b0v6h1sz12dib
mouse_strain,C57BL
gene_symbol,Zfp683
pvalue,0.6730438
parameter_id,IMPC_ECG_004_001
mouse_life_stage,Early adult
