gene_symbol,Msantd3
parameter_id,IMPC_XRY_059_001
pvalue,0.906442
parameter_name,Shape of ribcage
mouse_strain,C57BL
gene_accession_id,MGI:1913915
mouse_life_stage,Early adult
analysis_id,c3f8h4n246k175r
