parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_symbol,Mecom
parameter_name,End-Systolic Diameter
pvalue,0.5515223
analysis_id,8i049yn41icpmys
