gene_symbol,AU040320
parameter_id,HRWLLA_CSD_008_001
gene_accession_id,MGI:2140475
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
mouse_life_stage,Late adult
pvalue,0.3970646
analysis_id,0b08qn9p7qzh5v7
