gene_symbol,Ufc1
gene_accession_id,MGI:1913405
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
pvalue,0.7855978
analysis_id,54cg75deip3a7ky
